Accession	Species	Common_Name	Family	Order	File_Path
PV067999.1	Arisaema sinii		Araceae	Alismatales	order_genomes/Alismatales/PV067999.1.gb
PV993969.1	Halophila ovalis		Hydrocharitaceae	Alismatales	order_genomes/Alismatales/PV993969.1.gb
PV633786.1	Hydrocleys nymphoides		Alismataceae	Alismatales	order_genomes/Alismatales/PV633786.1.gb
PP566025.1	Zostera caespitosa		Zosteraceae	Alismatales	order_genomes/Alismatales/PP566025.1.gb
PP234593.1	Triglochin palustris		Juncaginaceae	Alismatales	order_genomes/Alismatales/PP234593.1.gb
PQ031344.1	Scheuchzeria palustris		Scheuchzeriaceae	Alismatales	order_genomes/Alismatales/PQ031344.1.gb
NC_088726.1	Ruppia sinensis		Cymodoceaceae	Alismatales	order_genomes/Alismatales/NC_088726.1.gb
NC_077522.1	Potamogeton wrightii		Potamogetonaceae	Alismatales	order_genomes/Alismatales/NC_077522.1.gb
NC_068654.1	Tofieldia ulleungensis		Tofieldiaceae	Alismatales	order_genomes/Alismatales/NC_068654.1.gb
NC_053914.1	Aponogeton undulatus		Aponogetonaceae	Alismatales	order_genomes/Alismatales/NC_053914.1.gb
NC_051949.1	Butomus umbellatus		Butomaceae	Alismatales	order_genomes/Alismatales/NC_051949.1.gb
PV231676.1	Arisaema heterophyllum		Araceae	Alismatales	order_genomes/Alismatales/PV231676.1.gb
PV993971.1	Halophila beccarii		Hydrocharitaceae	Alismatales	order_genomes/Alismatales/PV993971.1.gb
PV929715.1	Typhonium flagelliforme		Araceae	Alismatales	order_genomes/Alismatales/PV929715.1.gb
PV798115.1	Cryptocoryne tirtadinatae		Araceae	Alismatales	order_genomes/Alismatales/PV798115.1.gb
