Accession	Species	Common_Name	Family	Order	File_Path
OR399519.1	Cyclorhiza waltonii		Apiaceae	Apiales	order_genomes/Apiales/OR399519.1.gb
MW829284.2	Tetrapanax papyrifer		Araliaceae	Apiales	order_genomes/Apiales/MW829284.2.gb
PP506677.1	Pittosporum illicioides		Pittosporaceae	Apiales	order_genomes/Apiales/PP506677.1.gb
NC_084333.1	Delarbrea paradoxa		Myodocarpaceae	Apiales	order_genomes/Apiales/NC_084333.1.gb
NC_049885.1	Pennantia cunninghamii		Pennantiaceae	Apiales	order_genomes/Apiales/NC_049885.1.gb
NC_040944.1	Torricellia tiliifolia		Torricelliaceae	Apiales	order_genomes/Apiales/NC_040944.1.gb
OR399518.1	Cyclorhiza puana		Apiaceae	Apiales	order_genomes/Apiales/OR399518.1.gb
OR399517.1	Cyclorhiza peucedanifolia		Apiaceae	Apiales	order_genomes/Apiales/OR399517.1.gb
PV989638.1	Bupleurum chinense		Apiaceae	Apiales	order_genomes/Apiales/PV989638.1.gb
PP848979.1	Ferula heuffelii		Apiaceae	Apiales	order_genomes/Apiales/PP848979.1.gb
PP693041.1	Ferula communis		Apiaceae	Apiales	order_genomes/Apiales/PP693041.1.gb
PV600763.1	Angelica sinensis		Apiaceae	Apiales	order_genomes/Apiales/PV600763.1.gb
PV600762.1	Angelica gigas		Apiaceae	Apiales	order_genomes/Apiales/PV600762.1.gb
PV600761.1	Angelica acutiloba		Apiaceae	Apiales	order_genomes/Apiales/PV600761.1.gb
PV700452.1	Aralia elata		Araliaceae	Apiales	order_genomes/Apiales/PV700452.1.gb
