Accession	Species	Common_Name	Family	Order	File_Path
PQ645260.1	Ilex asprella		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ645260.1.gb
PQ351766.1	Helwingia himalaica		Helwingiaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351766.1.gb
PQ351807.1	Ilex polypyrena		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351807.1.gb
PQ351806.1	Ilex pernyi		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351806.1.gb
PQ351805.1	Ilex pentagona		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351805.1.gb
PQ351804.1	Ilex pedunculosa		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351804.1.gb
PQ351803.1	Ilex omeiensis		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351803.1.gb
PQ351802.1	Ilex sp.		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351802.1.gb
PQ351801.1	Ilex metabaptista		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351801.1.gb
PQ351800.1	Ilex buergeri		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351800.1.gb
PQ351799.1	Ilex szechwanensis		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351799.1.gb
PQ351798.1	Ilex serrata		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351798.1.gb
PQ351797.1	Ilex zhejiangensis		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351797.1.gb
PQ351796.1	Ilex venusta		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351796.1.gb
PQ351795.1	Ilex yunnanensis		Aquifoliaceae	Aquifoliales	order_genomes/Aquifoliales/PQ351795.1.gb
