Accession	Species	Common_Name	Family	Order	File_Path
PV882386.1	Phoenix dactylifera		Arecaceae	Arecales	order_genomes/Arecales/PV882386.1.gb
NC_029970.1	Baxteria australis		Dasypogonaceae	Arecales	order_genomes/Arecales/NC_029970.1.gb
PV604934.1	Phoenix sylvestris		Arecaceae	Arecales	order_genomes/Arecales/PV604934.1.gb
MW785262.1	Areca macrocalyx		Arecaceae	Arecales	order_genomes/Arecales/MW785262.1.gb
MW785260.1	Areca triandra		Arecaceae	Arecales	order_genomes/Arecales/MW785260.1.gb
MW785259.1	Areca catechu		Arecaceae	Arecales	order_genomes/Arecales/MW785259.1.gb
MW785255.1	Areca vestiaria		Arecaceae	Arecales	order_genomes/Arecales/MW785255.1.gb
MW785254.1	Areca caliso		Arecaceae	Arecales	order_genomes/Arecales/MW785254.1.gb
PP476489.1	Syagrus oleracea		Arecaceae	Arecales	order_genomes/Arecales/PP476489.1.gb
OM964795.1	Astrocaryum vulgare		Arecaceae	Arecales	order_genomes/Arecales/OM964795.1.gb
OM964794.1	Astrocaryum urostachys		Arecaceae	Arecales	order_genomes/Arecales/OM964794.1.gb
OM964789.1	Astrocaryum ulei		Arecaceae	Arecales	order_genomes/Arecales/OM964789.1.gb
OM964784.1	Astrocaryum scopatum		Arecaceae	Arecales	order_genomes/Arecales/OM964784.1.gb
OM964781.1	Astrocaryum perangustatum		Arecaceae	Arecales	order_genomes/Arecales/OM964781.1.gb
OM964777.1	Astrocaryum murumuru		Arecaceae	Arecales	order_genomes/Arecales/OM964777.1.gb
