Accession	Species	Common_Name	Family	Order	File_Path
PX058852.1	Vanilla calyculata		Orchidaceae	Asparagales	order_genomes/Asparagales/PX058852.1.gb
PQ611459.1	Polygonatum kingianum		Asparagaceae	Asparagales	order_genomes/Asparagales/PQ611459.1.gb
PV817907.1	Allium prattii		Amaryllidaceae	Asparagales	order_genomes/Asparagales/PV817907.1.gb
PQ639304.1	Iris rudolphii		Iridaceae	Asparagales	order_genomes/Asparagales/PQ639304.1.gb
PV409682.1	Rhodohypoxis baurii		Hypoxidaceae	Asparagales	order_genomes/Asparagales/PV409682.1.gb
PV409678.1	Lanaria lanata		Lanariaceae	Asparagales	order_genomes/Asparagales/PV409678.1.gb
PV409674.1	Dianella amoena		Asphodelaceae	Asparagales	order_genomes/Asparagales/PV409674.1.gb
PV409671.1	Blandfordia cunninghamii		Blandfordiaceae	Asparagales	order_genomes/Asparagales/PV409671.1.gb
PV409670.1	Astelia alpina		Asteliaceae	Asparagales	order_genomes/Asparagales/PV409670.1.gb
PV409668.1	Alania cunninghamii		Boryaceae	Asparagales	order_genomes/Asparagales/PV409668.1.gb
PV416773.1	Ixiolirion tataricum		Ixioliriaceae	Asparagales	order_genomes/Asparagales/PV416773.1.gb
NC_061701.1	Bellevalia paradoxa		Hyacinthaceae	Asparagales	order_genomes/Asparagales/NC_061701.1.gb
NC_072588.1	Zephyra violiflora		Tecophilaeaceae	Asparagales	order_genomes/Asparagales/NC_072588.1.gb
NC_072587.1	Xeronema callistemon		Xeronemataceae	Asparagales	order_genomes/Asparagales/NC_072587.1.gb
NC_072586.1	Doryanthes palmeri		Doryanthaceae	Asparagales	order_genomes/Asparagales/NC_072586.1.gb
