Accession	Species	Common_Name	Family	Order	File_Path
PQ240610.1	Cousinia pseudodshizakensis		Asteraceae	Asterales	order_genomes/Asterales/PQ240610.1.gb
PV944217.1	Adenophora pinifolia		Campanulaceae	Asterales	order_genomes/Asterales/PV944217.1.gb
PP492688.1	Calycera herbacea		Calyceraceae	Asterales	order_genomes/Asterales/PP492688.1.gb
NC_080531.1	Pentaphragma spicatum		Pentaphragmataceae	Asterales	order_genomes/Asterales/NC_080531.1.gb
NC_061690.1	Nymphoides peltata		Menyanthaceae	Asterales	order_genomes/Asterales/NC_061690.1.gb
NC_040933.1	Scaevola taccada		Goodeniaceae	Asterales	order_genomes/Asterales/NC_040933.1.gb
NC_036084.1	Carpodetus serratus		Rousseaceae	Asterales	order_genomes/Asterales/NC_036084.1.gb
MZ239204.1	Stylidium petiolare		Stylidiaceae	Asterales	order_genomes/Asterales/MZ239204.1.gb
PQ240609.1	Cousinia rotundifolia		Asteraceae	Asterales	order_genomes/Asterales/PQ240609.1.gb
PQ240608.1	Cousinia orthacantha		Asteraceae	Asterales	order_genomes/Asterales/PQ240608.1.gb
PQ240605.1	Cousinia proxima		Asteraceae	Asterales	order_genomes/Asterales/PQ240605.1.gb
PV955039.1	Tephroseris kirilowii		Asteraceae	Asterales	order_genomes/Asterales/PV955039.1.gb
PV600490.1	Artemisia ifranensis		Asteraceae	Asterales	order_genomes/Asterales/PV600490.1.gb
PV822557.1	Melanodendron integrifolium		Asteraceae	Asterales	order_genomes/Asterales/PV822557.1.gb
PV822556.1	Commidendrum spurium		Asteraceae	Asterales	order_genomes/Asterales/PV822556.1.gb
