Accession	Species	Common_Name	Family	Order	File_Path
PV747847.1	Schisandra henryi		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/PV747847.1.gb
PP566608.1	Schisandra macrocarpa		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/PP566608.1.gb
PQ037862.1	Schisandra propinqua		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/PQ037862.1.gb
PQ282136.1	Schisandra plena		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/PQ282136.1.gb
OR668891.1	Illicium verum		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/OR668891.1.gb
NC_065115.1	Illicium tsaii		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_065115.1.gb
NC_065116.1	Illicium burmanicum		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_065116.1.gb
NC_063850.1	Illicium simonsii		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_063850.1.gb
NC_065118.1	Illicium ternstroemioides		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_065118.1.gb
NC_065119.1	Illicium lanceolatum		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_065119.1.gb
NC_065117.1	Illicium majus		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_065117.1.gb
NC_065114.1	Illicium micranthum		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_065114.1.gb
NC_063671.1	Illicium difengpi		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_063671.1.gb
NC_067875.1	Illicium tsangii		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_067875.1.gb
NC_067874.1	Illicium jiadifengpi		Schisandraceae	Austrobaileyales	order_genomes/Austrobaileyales/NC_067874.1.gb
