Accession	Species	Common_Name	Family	Order	File_Path
PV946886.1	Tournefortia sibirica		Heliotropiaceae	Boraginales	order_genomes/Boraginales/PV946886.1.gb
PQ456197.1	Symphytum officinale		Boraginaceae	Boraginales	order_genomes/Boraginales/PQ456197.1.gb
PQ463295.1	Cordia subcordata		Cordiaceae	Boraginales	order_genomes/Boraginales/PQ463295.1.gb
NC_086899.1	Nemophila menziesii		Hydrophyllaceae	Boraginales	order_genomes/Boraginales/NC_086899.1.gb
NC_084199.1	Ehretia cymosa		Ehretiaceae	Boraginales	order_genomes/Boraginales/NC_084199.1.gb
NC_039720.1	Lennoa madreporoides		Lennoaceae	Boraginales	order_genomes/Boraginales/NC_039720.1.gb
PV605701.1	Lappula nuratavica		Boraginaceae	Boraginales	order_genomes/Boraginales/PV605701.1.gb
PV138184.1	Thyrocarpus sampsonii		Boraginaceae	Boraginales	order_genomes/Boraginales/PV138184.1.gb
PP234570.1	Lasiocaryum densiflorum		Boraginaceae	Boraginales	order_genomes/Boraginales/PP234570.1.gb
PP234551.1	Microula tibetica		Boraginaceae	Boraginales	order_genomes/Boraginales/PP234551.1.gb
PP234532.1	Metaeritrichium microuloides		Boraginaceae	Boraginales	order_genomes/Boraginales/PP234532.1.gb
PQ766638.1	Lithospermum erythrorhizon		Boraginaceae	Boraginales	order_genomes/Boraginales/PQ766638.1.gb
PQ851672.1	Brachybotrys paridiformis		Boraginaceae	Boraginales	order_genomes/Boraginales/PQ851672.1.gb
PQ571330.1	Lappula macrantha		Boraginaceae	Boraginales	order_genomes/Boraginales/PQ571330.1.gb
PQ571328.1	Lappula duplicicarpa		Boraginaceae	Boraginales	order_genomes/Boraginales/PQ571328.1.gb
