Accession	Species	Common_Name	Family	Order	File_Path
PV995108.1	Brassica rapa subsp. narinosa		Brassicaceae	Brassicales	order_genomes/Brassicales/PV995108.1.gb
PV097784.1	Cleome houtteana		Cleomaceae	Brassicales	order_genomes/Brassicales/PV097784.1.gb
PP706112.1	Capparis spinosa var. inermis		Capparaceae	Brassicales	order_genomes/Brassicales/PP706112.1.gb
NC_086776.1	Batis maritima		Bataceae	Brassicales	order_genomes/Brassicales/NC_086776.1.gb
OR756295.1	Bretschneidera sinensis		Akaniaceae	Brassicales	order_genomes/Brassicales/OR756295.1.gb
NC_065369.1	Vasconcellea carvalhoae		Caricaceae	Brassicales	order_genomes/Brassicales/NC_065369.1.gb
NC_066011.1	Tropaeolum majus		Tropaeolaceae	Brassicales	order_genomes/Brassicales/NC_066011.1.gb
NC_070088.1	Moringa peregrina		Moringaceae	Brassicales	order_genomes/Brassicales/NC_070088.1.gb
NC_061909.1	Setchellanthus caeruleus		Setchellanthaceae	Brassicales	order_genomes/Brassicales/NC_061909.1.gb
NC_057955.1	Salvadora persica		Salvadoraceae	Brassicales	order_genomes/Brassicales/NC_057955.1.gb
NC_053525.1	Ochradenus baccatus		Resedaceae	Brassicales	order_genomes/Brassicales/NC_053525.1.gb
NC_044667.1	Pentadiplandra brazzeana		Pentadiplandraceae	Brassicales	order_genomes/Brassicales/NC_044667.1.gb
ON088451.1	Limnanthes floccosa subsp. grandiflora		Limnanthaceae	Brassicales	order_genomes/Brassicales/ON088451.1.gb
PV962930.1	Cardamine leucantha		Brassicaceae	Brassicales	order_genomes/Brassicales/PV962930.1.gb
PV658298.1	Neotorularia sp. TJ-2025a		Brassicaceae	Brassicales	order_genomes/Brassicales/PV658298.1.gb
