Accession	Species	Common_Name	Family	Order	File_Path
PV995244.1	Acanthophyllum coloratum var. eglandulosum		Caryophyllaceae	Caryophyllales	order_genomes/Caryophyllales/PV995244.1.gb
PQ898998.1	Myricaria germanica		Tamaricaceae	Caryophyllales	order_genomes/Caryophyllales/PQ898998.1.gb
OR801117.1	Beta vulgaris		Chenopodiaceae	Caryophyllales	order_genomes/Caryophyllales/OR801117.1.gb
PV904154.1	Lophophora williamsii		Cactaceae	Caryophyllales	order_genomes/Caryophyllales/PV904154.1.gb
PV837933.1	Portulaca gilliesii		Portulacaceae	Caryophyllales	order_genomes/Caryophyllales/PV837933.1.gb
PV744415.1	Portulacaria afra		Didiereaceae	Caryophyllales	order_genomes/Caryophyllales/PV744415.1.gb
PP706316.1	Frankenia triandra		Frankeniaceae	Caryophyllales	order_genomes/Caryophyllales/PP706316.1.gb
PQ824630.1	Limonium tenellum		Plumbaginaceae	Caryophyllales	order_genomes/Caryophyllales/PQ824630.1.gb
MN888961.1	Bougainvillea glabra		Nyctaginaceae	Caryophyllales	order_genomes/Caryophyllales/MN888961.1.gb
MW044669.1	Polygonum aviculare		Polygonaceae	Caryophyllales	order_genomes/Caryophyllales/MW044669.1.gb
PQ766598.1	Aizoon canariense		Aizoaceae	Caryophyllales	order_genomes/Caryophyllales/PQ766598.1.gb
PP596895.1	Amaranthus cruentus		Amaranthaceae	Caryophyllales	order_genomes/Caryophyllales/PP596895.1.gb
PQ584746.1	Phytolacca acinosa		Phytolaccaceae	Caryophyllales	order_genomes/Caryophyllales/PQ584746.1.gb
PP035775.1	Nepenthes gracilis		Nepenthaceae	Caryophyllales	order_genomes/Caryophyllales/PP035775.1.gb
NC_084188.1	Habropetalum dawei		Dioncophyllaceae	Caryophyllales	order_genomes/Caryophyllales/NC_084188.1.gb
