Accession	Species	Common_Name	Family	Order	File_Path
PV153503.1	Cassine glauca		Celastraceae	Celastrales	order_genomes/Celastrales/PV153503.1.gb
PV948728.1	Euonymus chloranthoides		Celastraceae	Celastrales	order_genomes/Celastrales/PV948728.1.gb
PQ397793.1	Euonymus kiautschovicus		Celastraceae	Celastrales	order_genomes/Celastrales/PQ397793.1.gb
OR726632.1	Celastrus vaniotii		Celastraceae	Celastrales	order_genomes/Celastrales/OR726632.1.gb
OR726631.1	Celastrus tonkinensis		Celastraceae	Celastrales	order_genomes/Celastrales/OR726631.1.gb
OR726630.1	Celastrus stylosus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726630.1.gb
OR726629.1	Celastrus rugosus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726629.1.gb
OR726628.1	Celastrus orbiculatus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726628.1.gb
OR726627.1	Celastrus monospermus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726627.1.gb
OR726626.1	Celastrus hirsutus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726626.1.gb
OR726625.1	Celastrus hindsii		Celastraceae	Celastrales	order_genomes/Celastrales/OR726625.1.gb
OR726624.1	Celastrus gemmatus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726624.1.gb
OR726623.1	Celastrus angulatus		Celastraceae	Celastrales	order_genomes/Celastrales/OR726623.1.gb
OR538544.1	Tripterygium wilfordii		Celastraceae	Celastrales	order_genomes/Celastrales/OR538544.1.gb
OP747450.1	Euonymus hamiltonianus		Celastraceae	Celastrales	order_genomes/Celastrales/OP747450.1.gb
