Accession	Species	Common_Name	Family	Order	File_Path
PQ728896.1	Sarcandra glabra		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728896.1.gb
PQ728895.1	Hedyosmum peruvianum		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728895.1.gb
PQ728894.1	Hedyosmum orientale		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728894.1.gb
PQ728893.1	Hedyosmum nutans		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728893.1.gb
PQ728892.1	Hedyosmum mexicanum		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728892.1.gb
PQ728891.1	Hedyosmum maximum		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728891.1.gb
PQ728890.1	Hedyosmum goudotianum		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728890.1.gb
PQ728889.1	Hedyosmum brenesii		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728889.1.gb
PQ728888.1	Hedyosmum bonplandianum		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728888.1.gb
PQ728887.1	Chloranthus spicatus		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728887.1.gb
PQ728886.1	Chloranthus sessilifolius		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728886.1.gb
PQ728885.1	Chloranthus serratus		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728885.1.gb
PQ728884.1	Chloranthus oldhamii		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728884.1.gb
PQ728883.1	Chloranthus nervosus		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728883.1.gb
PQ728881.1	Chloranthus henryi		Chloranthaceae	Chloranthales	order_genomes/Chloranthales/PQ728881.1.gb
