Accession	Species	Common_Name	Family	Order	File_Path
PV890880.1	Cyanotis nyctitropa		Commelinaceae	Commelinales	order_genomes/Commelinales/PV890880.1.gb
PQ010103.1	Heteranthera lutea		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010103.1.gb
PQ010071.1	Anigozanthos flavidus		Haemodoraceae	Commelinales	order_genomes/Commelinales/PQ010071.1.gb
NC_039424.1	Philydrum lanuginosum		Philydraceae	Commelinales	order_genomes/Commelinales/NC_039424.1.gb
NC_029962.1	Hanguana malayana		Hanguanaceae	Commelinales	order_genomes/Commelinales/NC_029962.1.gb
PQ834833.1	Callisia fragrans		Commelinaceae	Commelinales	order_genomes/Commelinales/PQ834833.1.gb
PQ010102.1	Pontederia triflora		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010102.1.gb
PQ010101.1	Pontederia subovata		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010101.1.gb
PQ010100.1	Pontederia rotundifolia		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010100.1.gb
PQ010099.1	Pontederia reflexa		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010099.1.gb
PQ010098.1	Pontederia ovalis		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010098.1.gb
PQ010097.1	Pontederia gigantea		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010097.1.gb
PQ010096.1	Pontederia cordata var. lancifolia		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010096.1.gb
PQ010094.1	Pontederia vaginalis		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010094.1.gb
PQ010093.1	Pontederia korsakowii		Pontederiaceae	Commelinales	order_genomes/Commelinales/PQ010093.1.gb
