Accession	Species	Common_Name	Family	Order	File_Path
PP818646.1	Cornus sanguinea		Cornaceae	Cornales	order_genomes/Cornales/PP818646.1.gb
PQ593891.1	Hydrangea chinensis		Hydrangeaceae	Cornales	order_genomes/Cornales/PQ593891.1.gb
NC_044847.1	Hydrostachys polymorpha		Hydrostachyaceae	Cornales	order_genomes/Cornales/NC_044847.1.gb
NC_044846.1	Curtisia dentata		Curtisiaceae	Cornales	order_genomes/Cornales/NC_044846.1.gb
NC_044845.1	Grubbia rosmarinifolia		Grubbiaceae	Cornales	order_genomes/Cornales/NC_044845.1.gb
NC_044839.1	Nasa urens		Loasaceae	Cornales	order_genomes/Cornales/NC_044839.1.gb
NC_044828.1	Nyssa ogeche		Nyssaceae	Cornales	order_genomes/Cornales/NC_044828.1.gb
PP811661.1	Cornus sericea		Cornaceae	Cornales	order_genomes/Cornales/PP811661.1.gb
PQ899220.1	Cornus officinalis		Cornaceae	Cornales	order_genomes/Cornales/PQ899220.1.gb
PV164577.1	Cornus kousa subsp. chinensis		Cornaceae	Cornales	order_genomes/Cornales/PV164577.1.gb
OR701882.1	Hydrangea arborescens		Hydrangeaceae	Cornales	order_genomes/Cornales/OR701882.1.gb
OR701881.1	Hydrangea strigosa		Hydrangeaceae	Cornales	order_genomes/Cornales/OR701881.1.gb
OR701880.1	Hydrangea sp.		Hydrangeaceae	Cornales	order_genomes/Cornales/OR701880.1.gb
OR701879.1	Hydrangea serrata		Hydrangeaceae	Cornales	order_genomes/Cornales/OR701879.1.gb
OR701878.1	Hydrangea paniculata		Hydrangeaceae	Cornales	order_genomes/Cornales/OR701878.1.gb
