Accession	Species	Common_Name	Family	Order	File_Path
PQ459257.1	Euscaphis japonica		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/PQ459257.1.gb
NC_068762.1	Stachyurus himalaicus		Stachyuraceae	Crossosomatales	order_genomes/Crossosomatales/NC_068762.1.gb
NC_080370.1	Turpinia affinis		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/NC_080370.1.gb
NC_067993.1	Staphylea bumalda		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/NC_067993.1.gb
NC_058891.1	Stachyurus yunnanensis		Stachyuraceae	Crossosomatales	order_genomes/Crossosomatales/NC_058891.1.gb
NC_058890.1	Stachyurus retusus		Stachyuraceae	Crossosomatales	order_genomes/Crossosomatales/NC_058890.1.gb
NC_058889.1	Stachyurus chinensis		Stachyuraceae	Crossosomatales	order_genomes/Crossosomatales/NC_058889.1.gb
NC_051997.1	Turpinia montana		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/NC_051997.1.gb
NC_050925.1	Turpinia arguta		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/NC_050925.1.gb
MZ493339.1	Staphylea holocarpa		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/MZ493339.1.gb
MK488092.1	Staphylea trifolia		Staphyleaceae	Crossosomatales	order_genomes/Crossosomatales/MK488092.1.gb
