Accession	Species	Common_Name	Family	Order	File_Path
PV819072.1	Neoachmandra japonica		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/PV819072.1.gb
PV919469.1	Begonia darthvaderiana		Begoniaceae	Cucurbitales	order_genomes/Cucurbitales/PV919469.1.gb
NC_067977.1	Datisca cannabina		Datiscaceae	Cucurbitales	order_genomes/Cucurbitales/NC_067977.1.gb
NC_059766.1	Coriaria nepalensis		Coriariaceae	Cucurbitales	order_genomes/Cucurbitales/NC_059766.1.gb
NC_029236.1	Pilostyles hamiltonii		Apodanthaceae	Cucurbitales	order_genomes/Cucurbitales/NC_029236.1.gb
NC_014807.1	Corynocarpus laevigatus		Corynocarpaceae	Cucurbitales	order_genomes/Cucurbitales/NC_014807.1.gb
OM048110.1	Telfairia occidentalis		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/OM048110.1.gb
PV904166.1	Begonia masoniana		Begoniaceae	Cucurbitales	order_genomes/Cucurbitales/PV904166.1.gb
PV871830.1	Begonia fimbristipula		Begoniaceae	Cucurbitales	order_genomes/Cucurbitales/PV871830.1.gb
PP962251.1	Lagenaria abyssinica		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/PP962251.1.gb
ON880468.1	Hemsleya carnosiflora		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/ON880468.1.gb
PP646449.1	Momordica trifoliolata		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/PP646449.1.gb
PV426762.1	Trichosanthes kirilowii		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/PV426762.1.gb
PQ763538.1	Dendrosicyos socotranus		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/PQ763538.1.gb
PV008711.1	Luffa aegyptiaca		Cucurbitaceae	Cucurbitales	order_genomes/Cucurbitales/PV008711.1.gb
