Accession	Species	Common_Name	Family	Order	File_Path
PV472299.1	Aletris sp. XL-2025a		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PV472299.1.gb
PV612491.1	Dioscorea tenuipes		Dioscoreaceae	Dioscoreales	order_genomes/Dioscoreales/PV612491.1.gb
NC_085341.1	Tacca plantaginea		Taccaceae	Dioscoreales	order_genomes/Dioscoreales/NC_085341.1.gb
NC_036670.1	Burmannia nepalensis		Burmanniaceae	Dioscoreales	order_genomes/Dioscoreales/NC_036670.1.gb
PP988377.1	Aletris stenoloba		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988377.1.gb
PP988376.1	Aletris gracilis		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988376.1.gb
PP988375.1	Aletris scopulorum		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988375.1.gb
PP988374.1	Aletris pedicellata		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988374.1.gb
PP988373.1	Aletris pauciflora var. khasiana		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988373.1.gb
PP988371.1	Aletris megalantha		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988371.1.gb
PP988370.1	Aletris laxiflora		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988370.1.gb
PP988368.1	Aletris glandulifera		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988368.1.gb
PP988367.1	Aletris glabra		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988367.1.gb
PP988366.1	Aletris alpestris		Nartheciaceae	Dioscoreales	order_genomes/Dioscoreales/PP988366.1.gb
PP130733.1	Dioscorea bulbifera		Dioscoreaceae	Dioscoreales	order_genomes/Dioscoreales/PP130733.1.gb
