Accession	Species	Common_Name	Family	Order	File_Path
PV880074.1	Lonicera fragrantissima		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PV880074.1.gb
PV032000.1	Sambucus ebulus subsp. africana		Adoxaceae	Dipsacales	order_genomes/Dipsacales/PV032000.1.gb
PV026107.1	Centranthus trinervis		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PV026107.1.gb
PP697946.1	Lonicera tatarica		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697946.1.gb
PP697944.1	Lonicera trichosantha		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697944.1.gb
PP697941.1	Lonicera ruprechtiana		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697941.1.gb
PP697939.1	Lonicera webbiana		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697939.1.gb
PP697937.1	Lonicera maackii		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697937.1.gb
PP697935.1	Lonicera chrysantha		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697935.1.gb
PP697930.1	Lonicera nervosa		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697930.1.gb
PP697929.1	Lonicera reticulata		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697929.1.gb
PP697927.1	Lonicera confusa		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697927.1.gb
PP697926.1	Lonicera longiflora		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697926.1.gb
PP697925.1	Lonicera japonica		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697925.1.gb
PP697920.1	Lonicera hypoglauca		Caprifoliaceae	Dipsacales	order_genomes/Dipsacales/PP697920.1.gb
