Accession	Species	Common_Name	Family	Order	File_Path
MW829277.1	Ardisia crispa		Primulaceae	Ericales	order_genomes/Ericales/MW829277.1.gb
PP988495.1	Camellia sinensis		Theaceae	Ericales	order_genomes/Ericales/PP988495.1.gb
PP722976.1	Enkianthus campanulatus		Ericaceae	Ericales	order_genomes/Ericales/PP722976.1.gb
PV631714.1	Diospyros cathayensis		Ebenaceae	Ericales	order_genomes/Ericales/PV631714.1.gb
MK908406.1	Eurya alata		Pentaphylacaceae	Ericales	order_genomes/Ericales/MK908406.1.gb
PV548271.1	Xantolis weimingii		Sapotaceae	Ericales	order_genomes/Ericales/PV548271.1.gb
PV243864.1	Actinidia melanandra		Actinidiaceae	Ericales	order_genomes/Ericales/PV243864.1.gb
PP273162.1	Darlingtonia californica		Sarraceniaceae	Ericales	order_genomes/Ericales/PP273162.1.gb
PP273159.1	Roridula gorgonias		Roridulaceae	Ericales	order_genomes/Ericales/PP273159.1.gb
MW683070.1	Impatiens tubulosa		Balsaminaceae	Ericales	order_genomes/Ericales/MW683070.1.gb
PV083622.1	Styrax warscewiczii		Styracaceae	Ericales	order_genomes/Ericales/PV083622.1.gb
NC_084871.1	Clethra petelotii		Clethraceae	Ericales	order_genomes/Ericales/NC_084871.1.gb
NC_084255.1	Linanthus parryae		Polemoniaceae	Ericales	order_genomes/Ericales/NC_084255.1.gb
NC_080971.1	Mitrastemon yamamotoi		Mitrastemonaceae	Ericales	order_genomes/Ericales/NC_080971.1.gb
NC_066798.1	Symplocos tetragona		Symplocaceae	Ericales	order_genomes/Ericales/NC_066798.1.gb
