Accession	Species	Common_Name	Family	Order	File_Path
PX097887.1	Senna nomame		Fabaceae	Fabales	order_genomes/Fabales/PX097887.1.gb
PV700461.1	Polygala glomerata		Polygalaceae	Fabales	order_genomes/Fabales/PV700461.1.gb
NC_047356.1	Quillaja saponaria		Quillajaceae	Fabales	order_genomes/Fabales/NC_047356.1.gb
NC_047334.1	Cadellia pentastylis		Surianaceae	Fabales	order_genomes/Fabales/NC_047334.1.gb
PV915195.1	Phaseolus vulgaris		Fabaceae	Fabales	order_genomes/Fabales/PV915195.1.gb
PV929843.1	Cercis chuniana		Fabaceae	Fabales	order_genomes/Fabales/PV929843.1.gb
PV928991.1	Flemingia prostrata		Fabaceae	Fabales	order_genomes/Fabales/PV928991.1.gb
PV802397.1	Astragalus acaulis		Fabaceae	Fabales	order_genomes/Fabales/PV802397.1.gb
PV890881.1	Medicago sativa subsp. falcata		Fabaceae	Fabales	order_genomes/Fabales/PV890881.1.gb
PV910879.1	Astragalus polycladus		Fabaceae	Fabales	order_genomes/Fabales/PV910879.1.gb
PV798172.1	Astragalus khasianus		Fabaceae	Fabales	order_genomes/Fabales/PV798172.1.gb
OR941302.1	Cyamopsis tetragonoloba		Fabaceae	Fabales	order_genomes/Fabales/OR941302.1.gb
PV658296.1	Glycine soja		Fabaceae	Fabales	order_genomes/Fabales/PV658296.1.gb
PV582056.1	Abrus bottae		Fabaceae	Fabales	order_genomes/Fabales/PV582056.1.gb
PV660686.1	Oxytropis oxyphylla		Fabaceae	Fabales	order_genomes/Fabales/PV660686.1.gb
