Accession	Species	Common_Name	Family	Order	File_Path
PV833100.1	Engelhardia unijuga		Juglandaceae	Fagales	order_genomes/Fagales/PV833100.1.gb
PQ876385.1	Quercus gilva		Fagaceae	Fagales	order_genomes/Fagales/PQ876385.1.gb
PP551950.1	Betula klokovii x Betula pendula		Betulaceae	Fagales	order_genomes/Fagales/PP551950.1.gb
PQ046282.1	Morella esculenta		Myricaceae	Fagales	order_genomes/Fagales/PQ046282.1.gb
NC_058688.1	Casuarina cunninghamiana		Casuarinaceae	Fagales	order_genomes/Fagales/NC_058688.1.gb
PV833098.1	Engelhardia roxburghiana		Juglandaceae	Fagales	order_genomes/Fagales/PV833098.1.gb
PV791734.1	Pterocarya fraxinifolia		Juglandaceae	Fagales	order_genomes/Fagales/PV791734.1.gb
PP545466.1	Betula pubescens		Betulaceae	Fagales	order_genomes/Fagales/PP545466.1.gb
PP536052.1	Betula pendula subsp. pendula		Betulaceae	Fagales	order_genomes/Fagales/PP536052.1.gb
PV274336.1	Juglans sigillata		Juglandaceae	Fagales	order_genomes/Fagales/PV274336.1.gb
PV191269.1	Lithocarpus longanoides		Fagaceae	Fagales	order_genomes/Fagales/PV191269.1.gb
PV151834.1	Juglans regia		Juglandaceae	Fagales	order_genomes/Fagales/PV151834.1.gb
PV130127.1	Pterocarya macroptera var. insignis		Juglandaceae	Fagales	order_genomes/Fagales/PV130127.1.gb
PV130126.1	Pterocarya rhoifolia		Juglandaceae	Fagales	order_genomes/Fagales/PV130126.1.gb
OL891521.1	Alnus formosana		Betulaceae	Fagales	order_genomes/Fagales/OL891521.1.gb
