Accession	Species	Common_Name	Family	Order	File_Path
OQ348517.1	Garrya buxifolia		Garryaceae	Garryales	order_genomes/Garryales/OQ348517.1.gb
OR296705.1	Eucommia ulmoides		Eucommiaceae	Garryales	order_genomes/Garryales/OR296705.1.gb
NC_080890.1	Aucuba filicauda		Garryaceae	Garryales	order_genomes/Garryales/NC_080890.1.gb
NC_080889.1	Aucuba confertiflora		Garryaceae	Garryales	order_genomes/Garryales/NC_080889.1.gb
NC_080888.1	Aucuba chinensis		Garryaceae	Garryales	order_genomes/Garryales/NC_080888.1.gb
OQ348512.1	Aucuba japonica var. variegata		Garryaceae	Garryales	order_genomes/Garryales/OQ348512.1.gb
NC_058873.1	Aucuba eriobotryifolia		Garryaceae	Garryales	order_genomes/Garryales/NC_058873.1.gb
NC_058872.1	Aucuba chlorascens		Garryaceae	Garryales	order_genomes/Garryales/NC_058872.1.gb
NC_056113.1	Aucuba obcordata		Garryaceae	Garryales	order_genomes/Garryales/NC_056113.1.gb
OQ362998.1	Aucuba albopunctifolia var. angustula		Garryaceae	Garryales	order_genomes/Garryales/OQ362998.1.gb
