Accession	Species	Common_Name	Family	Order	File_Path
PV972823.1	Hedyotis taishanensis		Rubiaceae	Gentianales	order_genomes/Gentianales/PV972823.1.gb
PV904159.1	Hemidesmus indicus		Apocynaceae	Gentianales	order_genomes/Gentianales/PV904159.1.gb
PV276232.1	Swertia nervosa		Gentianaceae	Gentianales	order_genomes/Gentianales/PV276232.1.gb
NC_079965.1	Gardneria multiflora		Loganiaceae	Gentianales	order_genomes/Gentianales/NC_079965.1.gb
NC_065471.1	Gelsemium elegans		Gelsemiaceae	Gentianales	order_genomes/Gentianales/NC_065471.1.gb
PV798297.1	Strophanthus divaricatus		Apocynaceae	Gentianales	order_genomes/Gentianales/PV798297.1.gb
PP621515.2	Serissa serissoides		Rubiaceae	Gentianales	order_genomes/Gentianales/PP621515.2.gb
PQ301464.1	Carissa carandas		Apocynaceae	Gentianales	order_genomes/Gentianales/PQ301464.1.gb
PV751239.1	Melodinus fusiformis		Apocynaceae	Gentianales	order_genomes/Gentianales/PV751239.1.gb
PV747498.1	Vincetoxicum bungei		Apocynaceae	Gentianales	order_genomes/Gentianales/PV747498.1.gb
PV608489.1	Urceola huaitingii		Apocynaceae	Gentianales	order_genomes/Gentianales/PV608489.1.gb
PV276231.1	Swertia macrosperma		Gentianaceae	Gentianales	order_genomes/Gentianales/PV276231.1.gb
PV370340.1	Leptodermis rehderiana		Rubiaceae	Gentianales	order_genomes/Gentianales/PV370340.1.gb
PV365186.1	Swertia bimaculata		Gentianaceae	Gentianales	order_genomes/Gentianales/PV365186.1.gb
PV364606.1	Cynanchum acutum		Apocynaceae	Gentianales	order_genomes/Gentianales/PV364606.1.gb
