Accession	Species	Common_Name	Family	Order	File_Path
PP868416.1	Erodium cicutarium		Geraniaceae	Geraniales	order_genomes/Geraniales/PP868416.1.gb
NC_023259.1	Viviania marifolia		Francoaceae	Geraniales	order_genomes/Geraniales/NC_023259.1.gb
PP234476.1	Erodium stephanianum		Geraniaceae	Geraniales	order_genomes/Geraniales/PP234476.1.gb
NC_063552.1	Geranium koreanum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_063552.1.gb
NC_063551.1	Geranium thunbergii		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_063551.1.gb
NC_056382.1	Geranium sibiricum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_056382.1.gb
NC_033359.1	Pelargonium spinosum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_033359.1.gb
NC_033358.1	Pelargonium quinquelobatum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_033358.1.gb
NC_033357.1	Pelargonium endlicherianum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_033357.1.gb
NC_031206.1	Pelargonium transvaalense		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_031206.1.gb
NC_031205.1	Pelargonium tetragonum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_031205.1.gb
NC_031204.1	Pelargonium trifidum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_031204.1.gb
NC_031203.1	Pelargonium quercifolium		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_031203.1.gb
NC_031201.1	Pelargonium myrrhifolium		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_031201.1.gb
NC_031200.1	Pelargonium incrassatum		Geraniaceae	Geraniales	order_genomes/Geraniales/NC_031200.1.gb
