Accession	Species	Common_Name	Family	Order	File_Path
PQ231107.1	Paraphlomis hispida		Lamiaceae	Lamiales	order_genomes/Lamiales/PQ231107.1.gb
PV930377.1	Forsythia suspensa		Oleaceae	Lamiales	order_genomes/Lamiales/PV930377.1.gb
PV915200.1	Hygrophila polysperma		Acanthaceae	Lamiales	order_genomes/Lamiales/PV915200.1.gb
PV879616.1	Incarvillea potaninii		Bignoniaceae	Lamiales	order_genomes/Lamiales/PV879616.1.gb
PV890006.1	Limnophila rugosa		Plantaginaceae	Lamiales	order_genomes/Lamiales/PV890006.1.gb
PV780483.1	Glandularia tenera		Verbenaceae	Lamiales	order_genomes/Lamiales/PV780483.1.gb
PV750053.1	Petrocosmea sp. XZ-2025a		Gesneriaceae	Lamiales	order_genomes/Lamiales/PV750053.1.gb
PQ679323.1	Scrophularia marilandica		Scrophulariaceae	Lamiales	order_genomes/Lamiales/PQ679323.1.gb
PP234559.1	Pedicularis alaschanica		Orobanchaceae	Lamiales	order_genomes/Lamiales/PP234559.1.gb
PP234517.1	Lancea tibetica		Phrymaceae	Lamiales	order_genomes/Lamiales/PP234517.1.gb
PP737619.1	Sesamum indicum		Pedaliaceae	Lamiales	order_genomes/Lamiales/PP737619.1.gb
PP946395.1	Martynia annua		Martyniaceae	Lamiales	order_genomes/Lamiales/PP946395.1.gb
NC_084260.1	Utricularia vulgaris		Lentibulariaceae	Lamiales	order_genomes/Lamiales/NC_084260.1.gb
NC_077632.1	Mazus surculosus		Mazaceae	Lamiales	order_genomes/Lamiales/NC_077632.1.gb
NC_082135.1	Yamazakia viscosa		Linderniaceae	Lamiales	order_genomes/Lamiales/NC_082135.1.gb
