Accession	Species	Common_Name	Family	Order	File_Path
PV685786.1	Litsea umbellata		Lauraceae	Laurales	order_genomes/Laurales/PV685786.1.gb
PQ419233.1	Calycanthus chinensis		Calycanthaceae	Laurales	order_genomes/Laurales/PQ419233.1.gb
NC_070086.1	Illigera cordata		Hernandiaceae	Laurales	order_genomes/Laurales/NC_070086.1.gb
PQ456192.1	Cinnamomum aromaticum		Lauraceae	Laurales	order_genomes/Laurales/PQ456192.1.gb
PV666431.1	Eusideroxylon zwageri		Lauraceae	Laurales	order_genomes/Laurales/PV666431.1.gb
PP505960.1	Actinodaphne tsaii		Lauraceae	Laurales	order_genomes/Laurales/PP505960.1.gb
PP505959.1	Litsea pierrei		Lauraceae	Laurales	order_genomes/Laurales/PP505959.1.gb
PP505958.1	Litsea honghoensis		Lauraceae	Laurales	order_genomes/Laurales/PP505958.1.gb
PP505956.1	Neolitsea aurata var. glauca		Lauraceae	Laurales	order_genomes/Laurales/PP505956.1.gb
PP505955.1	Neolitsea pulchella		Lauraceae	Laurales	order_genomes/Laurales/PP505955.1.gb
PP505954.1	Actinodaphne omeiensis		Lauraceae	Laurales	order_genomes/Laurales/PP505954.1.gb
PP505953.1	Litsea semecarpifolia		Lauraceae	Laurales	order_genomes/Laurales/PP505953.1.gb
PP505952.1	Litsea panamanja		Lauraceae	Laurales	order_genomes/Laurales/PP505952.1.gb
PP505950.1	Lindera chienii		Lauraceae	Laurales	order_genomes/Laurales/PP505950.1.gb
PP505949.1	Neolitsea longipedicellata		Lauraceae	Laurales	order_genomes/Laurales/PP505949.1.gb
