Accession	Species	Common_Name	Family	Order	File_Path
OR400160.1	Lilium lancifolium		Liliaceae	Liliales	order_genomes/Liliales/OR400160.1.gb
PV786083.1	Chionographis koidzumiana		Melanthiaceae	Liliales	order_genomes/Liliales/PV786083.1.gb
PQ415552.1	Colchicum speciosum		Colchicaceae	Liliales	order_genomes/Liliales/PQ415552.1.gb
OL701493.1	Smilax zeylanica		Smilacaceae	Liliales	order_genomes/Liliales/OL701493.1.gb
NC_081473.1	Ripogonum fawcettianum		Ripogonaceae	Liliales	order_genomes/Liliales/NC_081473.1.gb
NC_049020.1	Philesia magellanica		Philesiaceae	Liliales	order_genomes/Liliales/NC_049020.1.gb
NC_049019.1	Petermannia cirrosa		Petermanniaceae	Liliales	order_genomes/Liliales/NC_049019.1.gb
NC_049016.1	Corsia dispar		Corsiaceae	Liliales	order_genomes/Liliales/NC_049016.1.gb
NC_041554.1	Alstroemeria hybrid cultivar		Alstroemeriaceae	Liliales	order_genomes/Liliales/NC_041554.1.gb
NC_026785.1	Campynema lineare		Campynemataceae	Liliales	order_genomes/Liliales/NC_026785.1.gb
OR400159.1	Lilium pumilum		Liliaceae	Liliales	order_genomes/Liliales/OR400159.1.gb
OR400158.1	Lilium bakerianum		Liliaceae	Liliales	order_genomes/Liliales/OR400158.1.gb
OR400157.1	Lilium brownii var. viridulum		Liliaceae	Liliales	order_genomes/Liliales/OR400157.1.gb
PQ824871.1	Lilium nanum		Liliaceae	Liliales	order_genomes/Liliales/PQ824871.1.gb
PV916038.1	Lilium sp. ZB-2025a		Liliaceae	Liliales	order_genomes/Liliales/PV916038.1.gb
