Accession	Species	Common_Name	Family	Order	File_Path
PV763354.1	Fissistigma oldhamii		Annonaceae	Magnoliales	order_genomes/Magnoliales/PV763354.1.gb
PV678986.1	Magnolia fulva		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PV678986.1.gb
PQ421079.1	Myristica fragrans		Myristicaceae	Magnoliales	order_genomes/Magnoliales/PQ421079.1.gb
PV678985.1	Magnolia hypolampra		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PV678985.1.gb
PV656667.1	Magnolia lacei		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PV656667.1.gb
PQ303609.1	Magnolia buenaventurensis		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PQ303609.1.gb
PV530397.1	Magnolia virginiana		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PV530397.1.gb
PV239602.1	Magnolia hookeri		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PV239602.1.gb
PQ246290.1	Magnolia fordiana var. calcarea		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PQ246290.1.gb
PQ842612.1	Magnolia macrophylla		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PQ842612.1.gb
PQ842611.1	Magnolia ashei		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/PQ842611.1.gb
OR946461.1	Magnolia yunnanensis		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/OR946461.1.gb
OR946460.1	Magnolia guangdongensis		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/OR946460.1.gb
OR946459.1	Magnolia ernestii subsp. szechuanica		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/OR946459.1.gb
OR946458.1	Magnolia macclurei		Magnoliaceae	Magnoliales	order_genomes/Magnoliales/OR946458.1.gb
