Accession	Species	Common_Name	Family	Order	File_Path
PQ431398.1	Stephanopodium engleri		Dichapetalaceae	Malpighiales	order_genomes/Malpighiales/PQ431398.1.gb
PQ067316.1	Podostemum comatum		Podostemaceae	Malpighiales	order_genomes/Malpighiales/PQ067316.1.gb
PV944218.1	Cathetus virgatus		Phyllanthaceae	Malpighiales	order_genomes/Malpighiales/PV944218.1.gb
PQ790046.1	Bruguiera hainesii		Rhizophoraceae	Malpighiales	order_genomes/Malpighiales/PQ790046.1.gb
PV765934.1	Hevea brasiliensis		Euphorbiaceae	Malpighiales	order_genomes/Malpighiales/PV765934.1.gb
PV631333.1	Viola grayi		Violaceae	Malpighiales	order_genomes/Malpighiales/PV631333.1.gb
PV495210.1	Idesia polycarpa		Salicaceae	Malpighiales	order_genomes/Malpighiales/PV495210.1.gb
PV424333.1	Hiptage benghalensis		Malpighiaceae	Malpighiales	order_genomes/Malpighiales/PV424333.1.gb
PQ010637.1	Garcinia intermedia		Clusiaceae	Malpighiales	order_genomes/Malpighiales/PQ010637.1.gb
PQ010635.1	Vismia baccifera		Hypericaceae	Malpighiales	order_genomes/Malpighiales/PQ010635.1.gb
PP596894.1	Linum usitatissimum		Linaceae	Malpighiales	order_genomes/Malpighiales/PP596894.1.gb
PQ463636.1	Calophyllum membranaceum		Calophyllaceae	Malpighiales	order_genomes/Malpighiales/PQ463636.1.gb
PQ140485.1	Hydnocarpus kurzii		Achariaceae	Malpighiales	order_genomes/Malpighiales/PQ140485.1.gb
OQ910395.1	Passiflora tripartita var. mollissima		Passifloraceae	Malpighiales	order_genomes/Malpighiales/OQ910395.1.gb
NC_072725.1	Ochna serrulata		Ochnaceae	Malpighiales	order_genomes/Malpighiales/NC_072725.1.gb
