Accession	Species	Common_Name	Family	Order	File_Path
PP887496.1	Aquilaria crassna		Thymelaeaceae	Malvales	order_genomes/Malvales/PP887496.1.gb
PQ456199.1	Cola acuminata		Malvaceae	Malvales	order_genomes/Malvales/PQ456199.1.gb
PV078022.1	Rubroshorea johorensis		Dipterocarpaceae	Malvales	order_genomes/Malvales/PV078022.1.gb
NC_060629.1	Dialyceras coriaceum		Sphaerosepalaceae	Malvales	order_genomes/Malvales/NC_060629.1.gb
NC_056948.1	Muntingia calabura		Muntingiaceae	Malvales	order_genomes/Malvales/NC_056948.1.gb
NC_041550.1	Bixa orellana		Bixaceae	Malvales	order_genomes/Malvales/NC_041550.1.gb
NC_031150.1	Cytinus hypocistis		Cytinaceae	Malvales	order_genomes/Malvales/NC_031150.1.gb
MN313430.1	Grielum grandiflorum		Neuradaceae	Malvales	order_genomes/Malvales/MN313430.1.gb
PP887495.1	Aquilaria sinensis		Thymelaeaceae	Malvales	order_genomes/Malvales/PP887495.1.gb
PQ456194.1	Malva cathayensis		Malvaceae	Malvales	order_genomes/Malvales/PQ456194.1.gb
PV752465.1	Daphne pseudomezereum var. pseudomezereum		Thymelaeaceae	Malvales	order_genomes/Malvales/PV752465.1.gb
PV752464.1	Daphne kamtschatica		Thymelaeaceae	Malvales	order_genomes/Malvales/PV752464.1.gb
PV738961.1	Pterospermum heterophyllum		Malvaceae	Malvales	order_genomes/Malvales/PV738961.1.gb
PQ858248.1	Daphne mucronata		Thymelaeaceae	Malvales	order_genomes/Malvales/PQ858248.1.gb
PV666616.1	Hibiscus volkensii		Malvaceae	Malvales	order_genomes/Malvales/PV666616.1.gb
