Accession	Species	Common_Name	Family	Order	File_Path
PV394816.1	Oenothera drummondii		Onagraceae	Myrtales	order_genomes/Myrtales/PV394816.1.gb
OL804288.1	Eucalyptus urophylla x Eucalyptus grandis		Myrtaceae	Myrtales	order_genomes/Myrtales/OL804288.1.gb
PV276194.1	Lagerstroemia lecomtei		Lythraceae	Myrtales	order_genomes/Myrtales/PV276194.1.gb
PV294935.1	Mouriri elliptica		Melastomataceae	Myrtales	order_genomes/Myrtales/PV294935.1.gb
OR582423.1	Laguncularia racemosa		Combretaceae	Myrtales	order_genomes/Myrtales/OR582423.1.gb
NC_043811.1	Vochysia acuminata		Vochysiaceae	Myrtales	order_genomes/Myrtales/NC_043811.1.gb
NC_043805.1	Saltera sarcocolla		Penaeaceae	Myrtales	order_genomes/Myrtales/NC_043805.1.gb
PQ899223.1	Syzygium cerasiforme		Myrtaceae	Myrtales	order_genomes/Myrtales/PQ899223.1.gb
PV207539.1	Ludwigia peruviana		Onagraceae	Myrtales	order_genomes/Myrtales/PV207539.1.gb
OQ220351.1	Ludwigia hyssopifolia		Onagraceae	Myrtales	order_genomes/Myrtales/OQ220351.1.gb
PQ768875.1	Syzygium curranii		Myrtaceae	Myrtales	order_genomes/Myrtales/PQ768875.1.gb
PP975770.1	Syzygium syzygioides		Myrtaceae	Myrtales	order_genomes/Myrtales/PP975770.1.gb
PQ030842.1	Chamaenerion angustifolium		Onagraceae	Myrtales	order_genomes/Myrtales/PQ030842.1.gb
PQ014275.1	Lagerstroemia indica		Lythraceae	Myrtales	order_genomes/Myrtales/PQ014275.1.gb
PP866890.1	Syzygium zeylanicum		Myrtaceae	Myrtales	order_genomes/Myrtales/PP866890.1.gb
