Accession	Species	Common_Name	Family	Order	File_Path
PV933933.1	Brasenia schreberi		Cabombaceae	Nymphaeales	order_genomes/Nymphaeales/PV933933.1.gb
NC_063735.1	Nymphaea x daubenyana		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_063735.1.gb
NC_054150.1	Trithuria lanterna		Hydatellaceae	Nymphaeales	order_genomes/Nymphaeales/NC_054150.1.gb
NC_063733.1	Nymphaea lasiophylla		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_063733.1.gb
NC_063732.1	Barclaya rotundifolia		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_063732.1.gb
NC_063734.1	Nymphaea dimorpha		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_063734.1.gb
ON357881.1	Euryale ferox		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/ON357881.1.gb
NC_072673.1	Nymphaea pubescens		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_072673.1.gb
NC_060672.1	Nymphaea atrans		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_060672.1.gb
NC_059865.1	Nymphaea nouchali		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_059865.1.gb
NC_057568.1	Nymphaea gigantea		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_057568.1.gb
NC_057567.1	Nymphaea odorata		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_057567.1.gb
NC_057566.1	Nymphaea micrantha		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_057566.1.gb
NC_057565.1	Nymphaea tetragona		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_057565.1.gb
NC_057564.1	Nymphaea potamophila		Nymphaeaceae	Nymphaeales	order_genomes/Nymphaeales/NC_057564.1.gb
