Accession	Species	Common_Name	Family	Order	File_Path
PV867308.1	Oxalis articulata		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/PV867308.1.gb
ON193276.1	Elaeocarpus japonicus		Elaeocarpaceae	Oxalidales	order_genomes/Oxalidales/ON193276.1.gb
NC_069065.1	Brunellia mexicana		Brunelliaceae	Oxalidales	order_genomes/Oxalidales/NC_069065.1.gb
NC_042597.1	Cephalotus follicularis		Cephalotaceae	Oxalidales	order_genomes/Oxalidales/NC_042597.1.gb
MT537171.1	Rourea microphylla		Connaraceae	Oxalidales	order_genomes/Oxalidales/MT537171.1.gb
PQ773890.1	Oxalis triangularis		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/PQ773890.1.gb
PP072303.1	Oxalis sp. YH-2024a		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/PP072303.1.gb
OR643854.1	Oxalis megalorrhiza		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/OR643854.1.gb
OR643851.1	Oxalis micrantha		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/OR643851.1.gb
OR643849.1	Oxalis lomana		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/OR643849.1.gb
OR643846.1	Oxalis latifolia		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/OR643846.1.gb
OR643840.1	Oxalis corniculata		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/OR643840.1.gb
OR643839.1	Oxalis mollendoensis		Oxalidaceae	Oxalidales	order_genomes/Oxalidales/OR643839.1.gb
NC_065132.1	Elaeocarpus grandiflorus		Elaeocarpaceae	Oxalidales	order_genomes/Oxalidales/NC_065132.1.gb
NC_064356.1	Elaeocarpus glabripetalus		Elaeocarpaceae	Oxalidales	order_genomes/Oxalidales/NC_064356.1.gb
