Accession	Species	Common_Name	Family	Order	File_Path
PV156518.1	Xerophyta sessiliflora		Velloziaceae	Pandanales	order_genomes/Pandanales/PV156518.1.gb
PP234475.1	Stemona sessilifolia		Stemonaceae	Pandanales	order_genomes/Pandanales/PP234475.1.gb
NC_070192.1	Pandanus odorifer		Pandanaceae	Pandanales	order_genomes/Pandanales/NC_070192.1.gb
NC_027659.1	Sciaphila densiflora		Triuridaceae	Pandanales	order_genomes/Pandanales/NC_027659.1.gb
NC_026786.1	Carludovica palmata		Cyclanthaceae	Pandanales	order_genomes/Pandanales/NC_026786.1.gb
BK018544.1	Xerophyta viscosa		Velloziaceae	Pandanales	order_genomes/Pandanales/BK018544.1.gb
NC_064125.1	Stemona parviflora		Stemonaceae	Pandanales	order_genomes/Pandanales/NC_064125.1.gb
NC_070105.1	Pandanus amaryllifolius		Pandanaceae	Pandanales	order_genomes/Pandanales/NC_070105.1.gb
NC_057311.1	Benstonea copelandii		Pandanaceae	Pandanales	order_genomes/Pandanales/NC_057311.1.gb
NC_057310.1	Acanthochlamys bracteata		Velloziaceae	Pandanales	order_genomes/Pandanales/NC_057310.1.gb
NC_056376.1	Stemona tuberosa		Stemonaceae	Pandanales	order_genomes/Pandanales/NC_056376.1.gb
NC_043880.1	Xerophyta schlechteri		Velloziaceae	Pandanales	order_genomes/Pandanales/NC_043880.1.gb
NC_042747.1	Pandanus tectorius		Pandanaceae	Pandanales	order_genomes/Pandanales/NC_042747.1.gb
NC_039676.1	Stemona mairei		Stemonaceae	Pandanales	order_genomes/Pandanales/NC_039676.1.gb
NC_039675.1	Stemona japonica		Stemonaceae	Pandanales	order_genomes/Pandanales/NC_039675.1.gb
