Accession	Species	Common_Name	Family	Order	File_Path
PV641811.1	Houttuynia cordata		Saururaceae	Piperales	order_genomes/Piperales/PV641811.1.gb
PP786657.1	Aristolochia ringens		Aristolochiaceae	Piperales	order_genomes/Piperales/PP786657.1.gb
BK065164.1	Piper umbellatum		Piperaceae	Piperales	order_genomes/Piperales/BK065164.1.gb
BK065159.1	Asarum splendens		Asaraceae	Piperales	order_genomes/Piperales/BK065159.1.gb
NC_065211.1	Hydnora arabica		Hydnoraceae	Piperales	order_genomes/Piperales/NC_065211.1.gb
NC_065383.1	Lactoris fernandeziana		Lactoridaceae	Piperales	order_genomes/Piperales/NC_065383.1.gb
PV608438.1	Saururus chinensis		Saururaceae	Piperales	order_genomes/Piperales/PV608438.1.gb
PV608437.1	Gymnotheca involucrata		Saururaceae	Piperales	order_genomes/Piperales/PV608437.1.gb
BK065163.1	Piper sp. Davidson 12685		Piperaceae	Piperales	order_genomes/Piperales/BK065163.1.gb
BK065162.1	Piper hederaceum		Piperaceae	Piperales	order_genomes/Piperales/BK065162.1.gb
BK065161.1	Piper commutatum		Piperaceae	Piperales	order_genomes/Piperales/BK065161.1.gb
BK065160.1	Piper borbonense		Piperaceae	Piperales	order_genomes/Piperales/BK065160.1.gb
NC_087889.1	Manekia incurva		Piperaceae	Piperales	order_genomes/Piperales/NC_087889.1.gb
NC_087888.1	Peperomia griseoargentea		Piperaceae	Piperales	order_genomes/Piperales/NC_087888.1.gb
NC_087887.1	Saururus cernuus		Saururaceae	Piperales	order_genomes/Piperales/NC_087887.1.gb
