Accession	Species	Common_Name	Family	Order	File_Path
PV054327.1	Elymus uralensis subsp. tianschanicus		Poaceae	Poales	order_genomes/Poales/PV054327.1.gb
PP554185.1	x Bolboschoenoplectus mariqueter		Cyperaceae	Poales	order_genomes/Poales/PP554185.1.gb
PP790565.1	Juncus fauriei		Juncaceae	Poales	order_genomes/Poales/PP790565.1.gb
OQ834951.1	Tillandsia capillaris		Bromeliaceae	Poales	order_genomes/Poales/OQ834951.1.gb
PP790750.1	Typha angustifolia		Typhaceae	Poales	order_genomes/Poales/PP790750.1.gb
NC_066101.1	Eriocaulon sp. LE23		Eriocaulaceae	Poales	order_genomes/Poales/NC_066101.1.gb
NC_061357.1	Xyris pauciflora		Xyridaceae	Poales	order_genomes/Poales/NC_061357.1.gb
NC_061346.1	Joinvillea sp. Yi14364		Joinvilleaceae	Poales	order_genomes/Poales/NC_061346.1.gb
NC_061337.1	Dapsilanthus disjunctus		Restionaceae	Poales	order_genomes/Poales/NC_061337.1.gb
NC_061313.1	Rapatea paludosa		Rapateaceae	Poales	order_genomes/Poales/NC_061313.1.gb
NC_058648.1	Flagellaria indica		Flagellariaceae	Poales	order_genomes/Poales/NC_058648.1.gb
PV054326.1	Elymus praeruptus		Poaceae	Poales	order_genomes/Poales/PV054326.1.gb
PV976845.1	Neomicrocalamus yunnanensis		Poaceae	Poales	order_genomes/Poales/PV976845.1.gb
PV976839.1	Melocalamus scandens		Poaceae	Poales	order_genomes/Poales/PV976839.1.gb
PV976833.1	Melocalamus compactiflorus var. fimbriatus		Poaceae	Poales	order_genomes/Poales/PV976833.1.gb
