Accession	Species	Common_Name	Family	Order	File_Path
PV530471.1	Protea cynaroides		Proteaceae	Proteales	order_genomes/Proteales/PV530471.1.gb
PV153498.1	Platanus kerrii		Platanaceae	Proteales	order_genomes/Proteales/PV153498.1.gb
PP733984.1	Sabia discolor		Sabiaceae	Proteales	order_genomes/Proteales/PP733984.1.gb
NC_025339.1	Nelumbo nucifera		Nelumbonaceae	Proteales	order_genomes/Proteales/NC_025339.1.gb
PV089740.1	Macadamia sp.		Proteaceae	Proteales	order_genomes/Proteales/PV089740.1.gb
NC_073535.1	Platanus orientalis		Platanaceae	Proteales	order_genomes/Proteales/NC_073535.1.gb
NC_025288.1	Macadamia integrifolia		Proteaceae	Proteales	order_genomes/Proteales/NC_025288.1.gb
NC_069951.1	Sabia swinhoei		Sabiaceae	Proteales	order_genomes/Proteales/NC_069951.1.gb
NC_069950.1	Sabia schumanniana		Sabiaceae	Proteales	order_genomes/Proteales/NC_069950.1.gb
NC_069949.1	Sabia limoniacea		Sabiaceae	Proteales	order_genomes/Proteales/NC_069949.1.gb
NC_069948.1	Sabia japonica		Sabiaceae	Proteales	order_genomes/Proteales/NC_069948.1.gb
NC_069947.1	Sabia fasciculata		Sabiaceae	Proteales	order_genomes/Proteales/NC_069947.1.gb
NC_069946.1	Sabia dielsii		Sabiaceae	Proteales	order_genomes/Proteales/NC_069946.1.gb
NC_060493.1	Heliciopsis lobata		Proteaceae	Proteales	order_genomes/Proteales/NC_060493.1.gb
NC_059863.1	Sabia parviflora		Sabiaceae	Proteales	order_genomes/Proteales/NC_059863.1.gb
