Accession	Species	Common_Name	Family	Order	File_Path
PP175340.1	Stephania japonica var. timoriensis		Menispermaceae	Ranunculales	order_genomes/Ranunculales/PP175340.1.gb
MW829280.1	Clematis chinensis		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/MW829280.1.gb
PV648377.1	Dysosma tsayuensis		Berberidaceae	Ranunculales	order_genomes/Ranunculales/PV648377.1.gb
PV658157.1	Corydalis repens		Papaveraceae	Ranunculales	order_genomes/Ranunculales/PV658157.1.gb
LC595632.1	Stauntonia hexaphylla		Lardizabalaceae	Ranunculales	order_genomes/Ranunculales/LC595632.1.gb
NC_035873.1	Kingdonia uniflora		Circaeasteraceae	Ranunculales	order_genomes/Ranunculales/NC_035873.1.gb
NC_029429.1	Euptelea pleiosperma		Eupteleaceae	Ranunculales	order_genomes/Ranunculales/NC_029429.1.gb
PP175339.1	Stephania hernandiifolia		Menispermaceae	Ranunculales	order_genomes/Ranunculales/PP175339.1.gb
PQ874770.1	Clematis zandaensis		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874770.1.gb
PQ874769.1	Clematis yunnanensis		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874769.1.gb
PQ874768.1	Clematis yui		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874768.1.gb
PQ874767.1	Clematis viticella		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874767.1.gb
PQ874766.1	Clematis tsaii		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874766.1.gb
PQ874765.1	Clematis tosaensis		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874765.1.gb
PQ874764.1	Clematis patens subsp. tientaiensis		Ranunculaceae	Ranunculales	order_genomes/Ranunculales/PQ874764.1.gb
