Accession	Species	Common_Name	Family	Order	File_Path
PX023083.1	Maclura tricuspidata		Moraceae	Rosales	order_genomes/Rosales/PX023083.1.gb
PQ871805.1	Prunus pseudocerasus		Rosaceae	Rosales	order_genomes/Rosales/PQ871805.1.gb
MT974496.1	Ventilago leiocarpa		Rhamnaceae	Rosales	order_genomes/Rosales/MT974496.1.gb
PQ722561.1	Elatostema lineolatum var. major		Urticaceae	Rosales	order_genomes/Rosales/PQ722561.1.gb
PV871822.1	Dirachma socotrana		Dirachmaceae	Rosales	order_genomes/Rosales/PV871822.1.gb
PV850016.1	Hippophae rhamnoides subsp. yunnanensis		Elaeagnaceae	Rosales	order_genomes/Rosales/PV850016.1.gb
PV718158.1	Ulmus pumila		Ulmaceae	Rosales	order_genomes/Rosales/PV718158.1.gb
PV008710.1	Humulus lupulus		Cannabaceae	Rosales	order_genomes/Rosales/PV008710.1.gb
PQ858234.1	Barbeya oleoides		Barbeyaceae	Rosales	order_genomes/Rosales/PQ858234.1.gb
PQ871804.1	Prunus yunnanensis		Rosaceae	Rosales	order_genomes/Rosales/PQ871804.1.gb
PQ871803.1	Prunus avium		Rosaceae	Rosales	order_genomes/Rosales/PQ871803.1.gb
PX057651.1	Potentilla stenophylla		Rosaceae	Rosales	order_genomes/Rosales/PX057651.1.gb
PX057650.1	Argentina leuconota		Rosaceae	Rosales	order_genomes/Rosales/PX057650.1.gb
PX057649.1	Argentina anserina		Rosaceae	Rosales	order_genomes/Rosales/PX057649.1.gb
PQ126534.1	Ficus conglobata		Moraceae	Rosales	order_genomes/Rosales/PQ126534.1.gb
