Accession	Species	Common_Name	Family	Order	File_Path
PQ766330.1	Lophophytum pyramidale		Balanophoraceae	Santalales	order_genomes/Santalales/PQ766330.1.gb
PP236145.1	Psittacanthus auriculatus		Loranthaceae	Santalales	order_genomes/Santalales/PP236145.1.gb
OR712486.1	Ximenia americana		Ximeniaceae	Santalales	order_genomes/Santalales/OR712486.1.gb
OR712485.1	Viscum trachycarpum		Viscaceae	Santalales	order_genomes/Santalales/OR712485.1.gb
OR712484.1	Thesium decaryanum		Thesiaceae	Santalales	order_genomes/Santalales/OR712484.1.gb
OR712483.1	Strombosiopsis tetrandra		Strombosiaceae	Santalales	order_genomes/Santalales/OR712483.1.gb
OR712481.1	Schoepfia schreberi		Schoepfiaceae	Santalales	order_genomes/Santalales/OR712481.1.gb
OR712479.1	Octoknema affinis		Octoknemaceae	Santalales	order_genomes/Santalales/OR712479.1.gb
OR712478.1	Nanodea muscosa		Nanodeaceae	Santalales	order_genomes/Santalales/OR712478.1.gb
OR712477.1	Misodendrum brachystachyum		Misodendraceae	Santalales	order_genomes/Santalales/OR712477.1.gb
OR712476.1	Minquartia guianensis		Coulaceae	Santalales	order_genomes/Santalales/OR712476.1.gb
OR712475.1	Harmandia mekongensis		Aptandraceae	Santalales	order_genomes/Santalales/OR712475.1.gb
OR712473.1	Dulacia candida		Olacaceae	Santalales	order_genomes/Santalales/OR712473.1.gb
NC_077597.1	Phacellaria rigidula		Amphorogynaceae	Santalales	order_genomes/Santalales/NC_077597.1.gb
NC_077488.1	Santalum acuminatum		Santalaceae	Santalales	order_genomes/Santalales/NC_077488.1.gb
