Accession	Species	Common_Name	Family	Order	File_Path
PV928964.1	Citrus maxima		Rutaceae	Sapindales	order_genomes/Sapindales/PV928964.1.gb
PQ594819.1	Boswellia sp. SA-2024a		Burseraceae	Sapindales	order_genomes/Sapindales/PQ594819.1.gb
PV591952.1	Dimocarpus confinis		Sapindaceae	Sapindales	order_genomes/Sapindales/PV591952.1.gb
PP503005.1	Toxicodendron trichocarpum		Anacardiaceae	Sapindales	order_genomes/Sapindales/PP503005.1.gb
PV010370.1	Sandoricum koetjape		Meliaceae	Sapindales	order_genomes/Sapindales/PV010370.1.gb
OR754289.1	Simarouba amara		Simaroubaceae	Sapindales	order_genomes/Sapindales/OR754289.1.gb
NC_085771.1	Nitraria roborowskii		Nitrariaceae	Sapindales	order_genomes/Sapindales/NC_085771.1.gb
MN818816.1	Biebersteinia heterostemon		Biebersteiniaceae	Sapindales	order_genomes/Sapindales/MN818816.1.gb
PV928963.1	Citrus reticulata		Rutaceae	Sapindales	order_genomes/Sapindales/PV928963.1.gb
PQ594818.1	Boswellia serrata		Burseraceae	Sapindales	order_genomes/Sapindales/PQ594818.1.gb
PQ586177.1	Boswellia elongata		Burseraceae	Sapindales	order_genomes/Sapindales/PQ586177.1.gb
PQ586176.1	Boswellia bullata		Burseraceae	Sapindales	order_genomes/Sapindales/PQ586176.1.gb
PQ586134.1	Boswellia frereana		Burseraceae	Sapindales	order_genomes/Sapindales/PQ586134.1.gb
PQ586133.1	Boswellia dioscoridis		Burseraceae	Sapindales	order_genomes/Sapindales/PQ586133.1.gb
PV550751.1	Dimocarpus longan		Sapindaceae	Sapindales	order_genomes/Sapindales/PV550751.1.gb
