Accession	Species	Common_Name	Family	Order	File_Path
PP234504.1	Sedum alfredii		Crassulaceae	Saxifragales	order_genomes/Saxifragales/PP234504.1.gb
PV873136.1	Distylium chinense		Hamamelidaceae	Saxifragales	order_genomes/Saxifragales/PV873136.1.gb
PQ932579.1	Saxifraga saxicola		Saxifragaceae	Saxifragales	order_genomes/Saxifragales/PQ932579.1.gb
PV929694.1	Myriophyllum ussuriense		Haloragaceae	Saxifragales	order_genomes/Saxifragales/PV929694.1.gb
OQ161285.1	Paeonia suffruticosa x Paeonia lactiflora		Paeoniaceae	Saxifragales	order_genomes/Saxifragales/OQ161285.1.gb
ON729387.1	Daphniphyllum calycinum		Daphniphyllaceae	Saxifragales	order_genomes/Saxifragales/ON729387.1.gb
ON729384.1	Cercidiphyllum magnificum		Cercidiphyllaceae	Saxifragales	order_genomes/Saxifragales/ON729384.1.gb
ON729382.1	Liquidambar styraciflua		Altingiaceae	Saxifragales	order_genomes/Saxifragales/ON729382.1.gb
PQ133452.1	Ribes nigrum		Grossulariaceae	Saxifragales	order_genomes/Saxifragales/PQ133452.1.gb
PP861179.1	Itea omeiensis		Iteaceae	Saxifragales	order_genomes/Saxifragales/PP861179.1.gb
NC_023086.1	Penthorum chinense		Penthoraceae	Saxifragales	order_genomes/Saxifragales/NC_023086.1.gb
KX270752.1	Cynomorium coccineum		Cynomoriaceae	Saxifragales	order_genomes/Saxifragales/KX270752.1.gb
PP234498.1	Sedum japonicum		Crassulaceae	Saxifragales	order_genomes/Saxifragales/PP234498.1.gb
PP234493.1	Sedum plumbizincicola		Crassulaceae	Saxifragales	order_genomes/Saxifragales/PP234493.1.gb
PV873135.1	Distylium buxifolium		Hamamelidaceae	Saxifragales	order_genomes/Saxifragales/PV873135.1.gb
