Accession	Species	Common_Name	Family	Order	File_Path
PP952511.1	Solanum tuberosum		Solanaceae	Solanales	order_genomes/Solanales/PP952511.1.gb
PP796631.1	Cuscuta chinensis		Convolvulaceae	Solanales	order_genomes/Solanales/PP796631.1.gb
PP952510.1	Solanum lycopersicum		Solanaceae	Solanales	order_genomes/Solanales/PP952510.1.gb
PP952509.1	Solanum dulcamara		Solanaceae	Solanales	order_genomes/Solanales/PP952509.1.gb
PP952508.1	Sclerophylax spinescens		Solanaceae	Solanales	order_genomes/Solanales/PP952508.1.gb
PP952507.1	Physalis peruviana		Solanaceae	Solanales	order_genomes/Solanales/PP952507.1.gb
PP952506.1	Physalis grisea		Solanaceae	Solanales	order_genomes/Solanales/PP952506.1.gb
PP952505.1	Nolana paradoxa		Solanaceae	Solanales	order_genomes/Solanales/PP952505.1.gb
PP952504.1	Nicotiana attenuata		Solanaceae	Solanales	order_genomes/Solanales/PP952504.1.gb
PP952503.1	Lycium torreyi		Solanaceae	Solanales	order_genomes/Solanales/PP952503.1.gb
PP952502.1	Lycium tetrandrum		Solanaceae	Solanales	order_genomes/Solanales/PP952502.1.gb
PP952501.1	Lycium tenuispinosum		Solanaceae	Solanales	order_genomes/Solanales/PP952501.1.gb
PP952500.1	Lycium shockleyi		Solanaceae	Solanales	order_genomes/Solanales/PP952500.1.gb
PP952499.1	Lycium schweinfurthii		Solanaceae	Solanales	order_genomes/Solanales/PP952499.1.gb
PP952498.1	Lycium schaffneri		Solanaceae	Solanales	order_genomes/Solanales/PP952498.1.gb
