Accession	Species	Common_Name	Family	Order	File_Path
PX070098.1	Musa cheesmanii		Musaceae	Zingiberales	order_genomes/Zingiberales/PX070098.1.gb
ON868911.1	Roscoea sp. HC-2022a		Zingiberaceae	Zingiberales	order_genomes/Zingiberales/ON868911.1.gb
NC_086670.1	Heliconia caribaea		Heliconiaceae	Zingiberales	order_genomes/Zingiberales/NC_086670.1.gb
NC_086578.1	Thalia dealbata		Marantaceae	Zingiberales	order_genomes/Zingiberales/NC_086578.1.gb
NC_083982.1	Canna x generalis		Cannaceae	Zingiberales	order_genomes/Zingiberales/NC_083982.1.gb
OR680720.1	Hellenia speciosa		Costaceae	Zingiberales	order_genomes/Zingiberales/OR680720.1.gb
NC_022927.1	Ravenala madagascariensis		Strelitziaceae	Zingiberales	order_genomes/Zingiberales/NC_022927.1.gb
PX023001.1	Musa acuminata		Musaceae	Zingiberales	order_genomes/Zingiberales/PX023001.1.gb
PV786118.1	Plagiostachys austrosinensis		Zingiberaceae	Zingiberales	order_genomes/Zingiberales/PV786118.1.gb
OP278172.1	Musa indandamanensis		Musaceae	Zingiberales	order_genomes/Zingiberales/OP278172.1.gb
LC792623.1	Musa itinerans		Musaceae	Zingiberales	order_genomes/Zingiberales/LC792623.1.gb
LC792620.1	Musa balbisiana		Musaceae	Zingiberales	order_genomes/Zingiberales/LC792620.1.gb
LC792617.1	Musa x paradisiaca		Musaceae	Zingiberales	order_genomes/Zingiberales/LC792617.1.gb
OR337884.1	Zingiber corallinum		Zingiberaceae	Zingiberales	order_genomes/Zingiberales/OR337884.1.gb
OR337880.1	Zingiber yunnanense		Zingiberaceae	Zingiberales	order_genomes/Zingiberales/OR337880.1.gb
