Accession	Species	Common_Name	Family	Order	File_Path
NC_077496.1	Zygophyllum macropterum		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_077496.1.gb
NC_063627.1	Krameria erecta		Krameriaceae	Zygophyllales	order_genomes/Zygophyllales/NC_063627.1.gb
NC_077495.1	Zygophyllum obliquum		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_077495.1.gb
NC_077494.1	Zygophyllum potaninii		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_077494.1.gb
NC_077493.1	Zygophyllum pterocarpum		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_077493.1.gb
NC_077492.1	Zygophyllum rosowii		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_077492.1.gb
NC_081907.1	Zygophyllum brachypterum		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_081907.1.gb
OQ743999.1	Tetraena mongolica		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/OQ743999.1.gb
NC_062155.1	Zygophyllum kansuense		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_062155.1.gb
NC_066813.1	Balanites aegyptiaca		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_066813.1.gb
ON598339.1	Zygophyllum fabago		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/ON598339.1.gb
ON598337.1	Zygophyllum mucronatum		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/ON598337.1.gb
ON598328.1	Zygophyllum xanthoxylum		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/ON598328.1.gb
NC_067950.1	Tetraena simplex		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_067950.1.gb
NC_046758.1	Tribulus terrestris		Zygophyllaceae	Zygophyllales	order_genomes/Zygophyllales/NC_046758.1.gb
