Accession	Species	Common_Name	Family	Order	File_Path
PV454982.1	Tetrastigma serrulatum		Vitaceae	Vitales	order_genomes/Vitales/PV454982.1.gb
PV454981.1	Tetrastigma obtectum		Vitaceae	Vitales	order_genomes/Vitales/PV454981.1.gb
PV296135.1	Tetrastigma formosanum		Vitaceae	Vitales	order_genomes/Vitales/PV296135.1.gb
PV239776.1	Nekemias grossedentata		Vitaceae	Vitales	order_genomes/Vitales/PV239776.1.gb
PP391085.1	Ampelopsis glandulosa var. heterophylla		Vitaceae	Vitales	order_genomes/Vitales/PP391085.1.gb
PP391084.1	Ampelopsis delavayana		Vitaceae	Vitales	order_genomes/Vitales/PP391084.1.gb
PQ037264.1	Pseudocayratia dichromocarpa		Vitaceae	Vitales	order_genomes/Vitales/PQ037264.1.gb
PP657260.1	Tetrastigma thorsborneorum		Vitaceae	Vitales	order_genomes/Vitales/PP657260.1.gb
PP657258.1	Tetrastigma pyriforme		Vitaceae	Vitales	order_genomes/Vitales/PP657258.1.gb
PP657257.1	Tetrastigma pachyphyllum		Vitaceae	Vitales	order_genomes/Vitales/PP657257.1.gb
PP657256.1	Tetrastigma nilagiricum		Vitaceae	Vitales	order_genomes/Vitales/PP657256.1.gb
PP657255.1	Tetrastigma leucostaphylum		Vitaceae	Vitales	order_genomes/Vitales/PP657255.1.gb
PP657254.1	Tetrastigma cauliflorum		Vitaceae	Vitales	order_genomes/Vitales/PP657254.1.gb
PP657253.1	Tetrastigma canarense		Vitaceae	Vitales	order_genomes/Vitales/PP657253.1.gb
PP657252.1	Tetrastigma annamense		Vitaceae	Vitales	order_genomes/Vitales/PP657252.1.gb
